thomas_num,thomas_name,id,icpsr,congress,st_name,cd,dem,female,votepct,deleg_size,speaker,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,afam,latino,votepct_sq,power,chair,seniority,sensq,state_leg,state_leg_prof,majority,maj_leader,min_leader,minwomen,majwomen,meddist,south,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag,demwomen,repwomen,les_am,leslag_am,les_am_half,leslag_am_half
7121,"Abercrombie, Neil",1091101,15245,109,HI,1,1,0,63,2,0,0,0,0,0,0,10,1,0,0,0,1,1,1,0,0,0,0,3969,0,0,8,64,1,0.275999993,0,0,0,0,0,0.713,0,11,2,1,0,0,0.309853226,0.35252434,0,0,0.370281041,0.35252434,0.340067148,0.35252434
7565,"Abercrombie, Neil",1101101,15245,110,HI,1,1,0,69,2,0,0,0,0,0,0,11,3,3,3,0,0,0,0,0,0,0,0,4761,0,0,9,81,1,0.275999993,1,0,0,0,0,0.218999997,0,11,3,3,3,0,0.938515484,0.309853226,0,0,0.938515484,0.370281041,0.938515484,0.340067148
2,"Abzug, Bella",933220,13001,93,NY,20,1,1,56,39,0,0,0,0,0,0,128,0,0,0,0,8,1,1,1,1,0,0,3136,0,0,2,4,0,0,1,0,0,0,1,0.639999986,0,136,1,1,1,1,0.762431085,NA,1,0,NA,NA,NA,NA
447,"Abzug, Bella",943220,13001,94,NY,20,1,1,79,39,0,4,2,2,2,1,124,0,0,0,0,1,0,0,0,0,0,0,6241,0,0,3,9,0,0,1,0,0,0,1,0.503999949,0,129,2,2,2,1,2.130091906,0.762431085,1,0,NA,NA,NA,NA
6231,"Acevedo-Vila, Anibal",107.1,NA,107,PR,1,NA,0,NA,1,0,0,0,0,0,0,17,2,2,2,1,1,0,0,0,0,0,1,NA,0,0,1,1,1,NA,0,0,0,0,0,NA,0,18,2,2,2,1,1.324178457,NA,0,0,0.931613922,NA,1.12789619,NA
6678,"Acevedo-Vila, Anibal",108.1,NA,108,PR,1,NA,0,NA,1,0,0,0,0,0,0,14,2,1,1,0,3,2,2,1,1,0,1,NA,0,0,2,4,1,NA,0,0,0,0,0,NA,0,17,4,3,2,1,0.882214665,NA,0,0,1.026734471,NA,0.954474568,NA
2220,"Ackerman, Gary",983207,15000,98,NY,7,1,0,NA,34,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,0,NA,0,0,1,1,1,0.407000005,1,0,0,0,0,0.355000019,0,6,1,1,1,0,0.116851136,NA,0,0,0.184714869,NA,0.150783002,NA
2665,"Ackerman, Gary",993207,15000,99,NY,7,1,0,69,34,0,5,2,4,4,3,9,1,0,0,0,2,1,1,1,0,0,0,4761,0,0,2,4,1,0.407000005,1,0,0,0,0,0.375,0,16,4,5,5,3,3.994474411,0.116851136,0,0,3.994474411,0.184714869,3.994474411,0.150783002
3108,"Ackerman, Gary",1003207,15000,100,NY,7,1,0,77,34,0,1,1,1,1,1,16,6,3,3,2,1,0,0,0,0,0,0,5929,0,0,3,9,1,0.407000005,1,0,0,0,0,0.349000007,0,18,7,4,4,3,2.427089453,3.994474411,0,0,NA,3.994474411,NA,3.994474411
3554,"Ackerman, Gary",1013207,15000,101,NY,7,1,0,100,34,0,2,1,2,1,1,14,4,2,2,2,1,0,0,0,0,0,0,10000,0,0,4,16,1,0.407000005,1,0,0,0,0,0.33949998,0,17,5,4,3,3,2.419835091,2.427089453,0,0,2.419835091,NA,2.419835091,NA
4004,"Ackerman, Gary",1023207,15000,102,NY,7,1,0,100,34,0,3,2,2,2,1,13,1,1,1,0,0,0,0,0,0,0,0,10000,0,0,5,25,1,0.407000005,1,0,0,0,0,0.317000002,0,16,3,3,3,1,1.859140515,2.419835091,0,0,1.859140515,2.419835091,1.859140515,2.419835091
4450,"Ackerman, Gary",1033205,15000,103,NY,5,1,0,52,31,0,0,0,0,0,0,12,2,1,1,0,0,0,0,0,0,0,0,2704,0,0,6,36,1,0.407000005,1,0,0,0,0,0.307000011,0,12,2,1,1,0,0.512959719,1.859140515,0,0,0.546636999,1.859140515,0.529798388,1.859140515
4895,"Ackerman, Gary",1043205,15000,104,NY,5,1,0,55,31,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3025,0,0,7,49,1,0.407000005,0,0,0,0,0,0.643999994,0,9,0,0,0,0,0.1721766,0.512959719,0,0,0.260267586,0.546636999,0.216222093,0.529798388
5340,"Ackerman, Gary",1053205,15000,105,NY,5,1,0,64,31,0,0,0,0,0,0,23,1,0,0,0,1,1,1,1,0,0,0,4096,0,0,8,64,1,0.407000005,0,0,0,0,0,0.649500012,0,24,2,1,1,0,0.583760202,0.1721766,0,0,0.661093175,0.260267586,0.622426689,0.216222093
5789,"Ackerman, Gary",1063205,15000,106,NY,5,1,0,65,31,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,9,81,1,0.407000005,0,0,0,0,0,0.613000035,0,10,0,0,0,0,0.154211149,0.583760202,0,0,0.154211149,0.661093175,0.154211149,0.622426689
6232,"Ackerman, Gary",1073205,15000,107,NY,5,1,0,68,31,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,4624,0,0,10,100,1,0.407000005,0,0,0,0,0,0.653999984,0,9,1,0,0,0,0.259440869,0.154211149,0,0,0.314064622,0.154211149,0.28675276,0.154211149
6679,"Ackerman, Gary",1083205,15000,108,NY,5,1,0,92,29,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8464,0,0,11,121,1,0.407000005,0,0,0,0,0,0.703000009,0,9,0,0,0,0,0.149422273,0.259440869,0,0,0.277884334,0.314064622,0.213653296,0.28675276
7122,"Ackerman, Gary",1093205,15000,109,NY,5,1,0,71,29,0,0,0,0,0,0,4,1,1,0,0,1,1,1,1,1,0,0,5041,0,0,12,144,1,0.407000005,0,0,0,0,0,0.747999966,0,5,2,2,1,1,0.421256185,0.149422273,0,0,0.45721367,0.277884334,0.439234912,0.213653296
7566,"Ackerman, Gary",1103205,15000,110,NY,5,1,0,100,29,0,0,0,0,0,0,29,1,1,1,0,0,0,0,0,0,0,0,10000,0,0,13,169,1,0.407000005,1,0,0,0,0,0.264000028,0,29,1,1,1,0,0.630356908,0.421256185,0,0,0.667026281,0.45721367,0.648691595,0.439234912
3,"Adams, Brock",934707,10700,93,WA,7,1,0,85,7,0,2,1,1,1,0,33,1,1,1,1,2,0,0,0,0,0,0,7225,0,0,5,25,0,0,1,0,0,0,0,0.31400001,0,37,2,2,2,1,1.236478448,NA,0,0,NA,NA,NA,NA
448,"Adams, Brock",944707,10700,94,WA,7,1,0,71,7,0,0,0,0,0,0,6,0,0,0,0,3,1,1,1,1,0,0,5041,0,1,6,36,0,0,1,0,0,0,0,0.17899999,0,9,1,1,1,1,0.122989751,1.236478448,0,0,NA,NA,NA,NA
4,"Addabbo, Joseph",933207,10500,93,NY,7,1,0,75,39,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0,0,5625,1,0,7,49,0,0,1,0,0,0,0,0.353000015,0,38,0,0,0,0,0.15505226,NA,0,0,NA,NA,NA,NA
449,"Addabbo, Joseph",943207,10500,94,NY,7,1,0,100,39,0,0,0,0,0,0,32,1,1,1,0,4,0,0,0,0,0,0,10000,1,0,8,64,0,0,1,0,0,0,0,0.238999993,0,36,1,1,1,0,0.44837752,0.15505226,0,0,NA,NA,NA,NA
891,"Addabbo, Joseph",953207,10500,95,NY,7,1,0,100,39,0,1,0,1,1,1,18,0,0,0,0,2,0,0,0,0,0,0,10000,1,0,9,81,0,0,1,0,0,0,0,0.274500012,0,21,0,1,1,1,0.768916667,0.44837752,0,0,NA,NA,NA,NA
1334,"Addabbo, Joseph",963207,10500,96,NY,7,1,0,95,39,0,3,3,3,3,3,23,0,0,0,0,3,0,0,0,0,0,0,9025,1,0,10,100,0,0,1,0,0,0,0,0.326000005,0,29,3,3,3,3,2.920180082,0.768916667,0,0,NA,NA,NA,NA
1774,"Addabbo, Joseph",973207,10500,97,NY,7,1,0,95,39,0,2,1,2,2,1,24,1,0,0,0,1,0,1,1,1,0,0,9025,1,0,11,121,0,0,1,0,0,0,0,0.425999999,0,27,2,3,3,2,2.076125383,2.920180082,0,0,1.085604548,NA,1.580864906,NA
2221,"Addabbo, Joseph",983206,10500,98,NY,6,1,0,96,34,0,2,2,2,1,1,23,2,0,0,0,0,0,0,0,0,0,0,9216,1,0,12,144,0,0,1,0,0,0,0,0.383000016,0,25,4,2,1,1,1.600187063,2.076125383,0,0,0.808865368,1.085604548,1.204526186,1.580864906
2666,"Addabbo, Joseph",993206.1,10500,99,NY,6,1,0,83,34,0,2,2,2,2,0,10,1,0,0,0,0,0,0,0,0,0,0,6889,1,0,13,169,0,0,1,0,0,0,0,0.428000033,0,12,3,2,2,0,1.371177316,1.600187063,0,0,0.790567815,0.808865368,1.080872536,1.204526186
5341,"Aderholt, Robert",1050104,29701,105,AL,4,0,0,50,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2500,1,0,1,1,0,0,1,0,0,0,0,0.286499977,1,5,0,0,0,0,0.0904039,NA,0,0,0.090425745,NA,0.090414822,NA
5790,"Aderholt, Robert",1060104,29701,106,AL,4,0,0,56,7,0,0,0,0,0,0,4,0,1,1,0,1,1,1,1,1,0,0,3136,1,0,2,4,0,0,1,0,0,0,0,0.319000006,1,5,1,2,2,1,0.373981684,0.0904039,0,0,0.402099937,0.090425745,0.388040811,0.090414822
6233,"Aderholt, Robert",1070104,29701,107,AL,4,0,0,61,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3721,1,0,3,9,0,0,1,0,0,0,0,0.273999989,1,2,0,0,0,0,0.031213993,0.373981684,0,0,0.031213993,0.402099937,0.031213993,0.388040811
6680,"Aderholt, Robert",1080104,29701,108,AL,4,0,0,87,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,7569,1,0,4,16,0,0,1,0,0,0,0,0.222000003,1,5,1,0,0,0,0.194318473,0.031213993,0,0,0.194318473,0.031213993,0.194318473,0.031213993
7123,"Aderholt, Robert",1090104,29701,109,AL,4,0,0,75,7,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,5625,1,0,5,25,0,0,1,0,0,0,0,0.173000008,1,7,1,1,1,0,0.464199334,0.194318473,0,0,0.464271069,0.194318473,0.464235187,0.194318473
7567,"Aderholt, Robert",1100104,29701,110,AL,4,0,0,70,7,0,0,0,0,0,0,3,0,1,1,0,1,0,1,1,0,0,0,4900,1,0,6,36,0,0,0,0,0,0,0,0.652999997,1,4,0,2,2,0,0.256018013,0.464199334,0,0,0.256018013,0.464271069,0.256018013,0.464235187
892,"Akaka, Daniel",951102,14400,95,HI,2,1,0,84,2,0,0,0,0,0,0,19,1,1,0,0,4,0,0,0,0,0,0,7056,0,0,1,1,0,0,1,0,0,0,0,0.2755,0,23,1,1,0,0,0.279342353,NA,0,0,NA,NA,NA,NA
1335,"Akaka, Daniel",961102,14400,96,HI,2,1,0,88,2,0,0,0,0,0,0,6,1,1,1,0,3,0,1,1,1,0,0,7744,0,0,2,4,0,0,1,0,0,0,0,0.309000015,0,9,1,2,2,1,0.398126096,0.279342353,0,0,NA,NA,NA,NA
1775,"Akaka, Daniel",971102,14400,97,HI,2,1,0,90,2,0,0,0,0,0,0,5,0,0,0,0,3,0,1,1,1,0,0,8100,1,0,3,9,0,0,1,0,0,0,0,0.391000003,0,8,0,1,1,1,0.168031946,0.398126096,0,0,0.168031946,NA,0.168031946,NA
2222,"Akaka, Daniel",981102,14400,98,HI,2,1,0,89,2,0,1,1,1,1,1,11,3,0,0,0,2,1,1,1,1,0,0,7921,1,0,4,16,0,0,1,0,0,0,0,0.329000026,0,14,5,2,2,2,1.299705267,0.168031946,0,0,1.346337318,0.168031946,1.323021293,0.168031946
2667,"Akaka, Daniel",991102,14400,99,HI,2,1,0,82,2,0,1,1,1,0,0,7,1,0,0,0,1,0,0,0,0,0,0,6724,1,0,5,25,0,0,1,0,0,0,0,0.355000019,0,9,2,1,0,0,0.500386894,1.299705267,0,0,1.300669909,1.346337318,0.900528431,1.323021293
3109,"Akaka, Daniel",1001102,14400,100,HI,2,1,0,76,2,0,0,0,0,0,0,7,1,1,1,1,0,0,0,0,0,0,0,5776,1,0,6,36,0,0,1,0,0,0,0,0.336000025,0,7,1,1,1,1,0.543516994,0.500386894,0,0,NA,1.300669909,NA,0.900528431
3555,"Akaka, Daniel",1011102.1,14400,101,HI,2,1,0,89,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7921,1,0,7,49,0,0,1,0,0,0,0,0.333499998,0,7,0,0,0,0,0.088919409,0.543516994,0,0,0.088919409,NA,0.088919409,NA
6234,"Akin, W.",1072502,20123,107,MO,2,0,0,55,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3025,0,0,1,1,1,0.197999999,1,0,0,0,0,0.523999989,0,2,0,0,0,0,0.031213993,NA,0,0,0.098252222,NA,0.06473311,NA
6681,"Akin, W.",1082502,20123,108,MO,2,0,0,67,9,0,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,4489,0,0,2,4,1,0.197999999,1,0,0,0,0,0.472000003,0,3,2,2,2,0,1.142555475,0.031213993,0,0,0.507535934,0.098252222,0.825045705,0.06473311
7124,"Akin, W.",1092502,20123,109,MO,2,0,0,65,9,0,1,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,4225,0,0,3,9,1,0.197999999,1,0,0,0,0,0.423999995,0,7,2,1,1,0,0.966262519,1.142555475,0,0,1.353641868,0.507535934,1.159952164,0.825045705
7568,"Akin, W.",1102502,20123,110,MO,2,0,0,61,9,0,0,0,0,0,0,6,0,0,0,0,3,3,3,3,0,0,0,3721,0,0,4,16,1,0.197999999,0,0,0,0,0,0.903999984,0,9,3,3,3,0,0.242851034,0.966262519,0,0,0.283594817,1.353641868,0.263222933,1.159952164
5,"Albert, Carl",933603,NA,93,OK,3,NA,0,93,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8649,0,0,14,196,0,0,0,0,1,0,0,NA,1,1,0,0,0,0,0.001033682,NA,0,0,NA,NA,NA,NA
450,"Albert, Carl",943603,NA,94,OK,3,NA,0,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,15,225,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA
1336,"Albosta, Donald",962210,14600,96,MI,10,1,0,51,19,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,2601,0,0,1,1,1,0.463,1,0,0,0,0,0.099999994,0,8,1,1,1,0,0.343248516,NA,0,0,NA,NA,NA,NA
1776,"Albosta, Donald",972210,14600,97,MI,10,1,0,52,19,0,0,0,0,0,0,14,2,1,0,0,2,0,0,0,0,0,0,2704,0,0,2,4,1,0.463,1,0,0,0,0,0.177999988,0,16,2,1,0,0,0.388104975,0.343248516,0,0,0.388104975,NA,0.388104975,NA
2223,"Albosta, Donald",982210,14600,98,MI,10,1,0,60,18,0,1,1,1,1,0,20,8,1,0,0,2,0,0,0,0,0,0,3600,0,0,3,9,1,0.463,1,0,0,0,0,0.112999991,0,23,9,2,1,0,1.208723068,0.388104975,0,0,1.389512062,0.388104975,1.299117565,0.388104975
6,"Alexander, Bill",930401,12000,93,AR,1,1,0,100,4,0,2,2,2,1,1,51,1,1,1,0,0,0,0,0,0,0,0,10000,0,0,3,9,0,0,1,0,0,0,0,0.233999982,1,53,3,3,2,1,1.875050545,NA,0,0,NA,NA,NA,NA
451,"Alexander, Bill",940401,12000,94,AR,1,1,0,91,4,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,8281,1,0,4,16,0,0,1,0,0,0,0,0.120999992,1,36,0,0,0,0,0.201779097,1.875050545,0,0,NA,NA,NA,NA
893,"Alexander, Bill",950401,12000,95,AR,1,1,0,69,4,0,0,0,0,0,0,37,0,0,0,0,2,1,1,1,1,0,0,4761,1,0,5,25,0,0,1,0,0,0,0,0.157499999,1,39,1,1,1,1,0.315449327,0.201779097,0,0,NA,NA,NA,NA
1337,"Alexander, Bill",960401,12000,96,AR,1,1,0,100,4,0,1,0,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,10000,1,0,6,36,0,0,1,0,0,0,0,0.210000008,1,16,0,1,1,1,0.882589519,0.315449327,0,0,NA,NA,NA,NA
1777,"Alexander, Bill",970401,12000,97,AR,1,1,0,100,4,0,0,0,0,0,0,16,4,0,0,0,1,0,0,0,0,0,0,10000,1,0,7,49,0,0,1,1,0,0,0,0.311000019,1,17,4,0,0,0,0.417243034,0.882589519,0,0,0.417243034,NA,0.417243034,NA
2224,"Alexander, Bill",980401,12000,98,AR,1,1,0,65,4,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,4225,1,0,8,64,0,0,1,1,0,0,0,0.269000024,1,10,1,0,0,0,0.160205707,0.417243034,0,0,0.160205707,0.417243034,0.160205707,0.417243034
2668,"Alexander, Bill",990401,12000,99,AR,1,1,0,97,4,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,9409,1,0,9,81,0,0,1,1,0,0,0,0.31400001,1,21,0,0,0,0,0.310457259,0.160205707,0,0,0.310457259,0.160205707,0.310457259,0.160205707
3110,"Alexander, Bill",1000401,12000,100,AR,1,1,0,64,4,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,4096,1,0,10,100,0,0,1,0,0,0,0,0.31400001,1,17,2,0,0,0,0.372535735,0.310457259,0,0,NA,0.310457259,NA,0.310457259
3556,"Alexander, Bill",1010401,12000,101,AR,1,1,0,100,4,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,10000,1,0,11,121,0,0,1,0,0,0,0,0.331499994,1,11,2,0,0,0,0.274368465,0.372535735,0,0,1.072356224,NA,0.673362374,NA
4005,"Alexander, Bill",1020401,12000,102,AR,1,1,0,64,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4096,1,0,12,144,0,0,1,0,0,0,0,0.334000021,1,13,0,0,0,0,0.176177457,0.274368465,0,0,0.314682454,1.072356224,0.245429963,0.673362374
6682,"Alexander, Rodney",1081805,20327,108,LA,5,1,0,NA,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,1,0.143999994,0,0,0,0,0,0.338,1,3,0,0,0,0,0.049807426,NA,0,0,0.049807426,NA,0.049807426,NA
7125,"Alexander, Rodney",1091805,90327,109,LA,5,0,0,NA,7,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,NA,1,0,2,4,1,0.143999994,1,0,0,0,0,0.150000006,1,4,0,1,1,0,0.300465316,NA,0,0,0.300535738,NA,0.300500512,NA
7569,"Alexander, Rodney",1101805,90327,110,LA,5,0,0,NA,7,0,0,0,0,0,0,6,0,0,0,0,2,1,1,1,1,0,0,NA,1,0,3,9,1,0.143999994,0,0,0,0,0,0.629999995,1,8,1,1,1,1,0.202651903,0.300465316,0,0,0.202651903,0.300535738,0.202651903,0.300500512
4006,"Allard, Wayne",1020604,29108,102,CO,4,0,0,54,6,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2916,0,0,1,1,1,0.300000012,0,0,0,0,0,0.751000047,0,5,1,0,0,0,0.12535353,NA,0,0,0.12535353,NA,0.12535353,NA
4451,"Allard, Wayne",1030604,29108,103,CO,4,0,0,58,6,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3364,0,0,2,4,1,0.300000012,0,0,0,0,0,0.758000016,0,5,2,0,0,0,0.205254555,0.12535353,0,0,0.349793464,0.12535353,0.277523994,0.12535353
4896,"Allard, Wayne",1040604,29108,104,CO,4,0,0,72,6,0,2,2,1,1,1,9,3,2,2,1,0,0,0,0,0,0,0,5184,0,0,3,9,1,0.300000012,1,0,0,0,0,0.417000026,0,11,5,3,3,2,2.513904095,0.205254555,0,0,2.572631598,0.349793464,2.543267727,0.277523994
452,"Allen, Clifford",944205.2,14286,94,TN,5,1,NA,NA,8,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,NA,0,0,1,1,1,0.149000004,1,0,0,0,0,0.053000003,1,13,0,0,0,0,0.060763024,NA,0,0,NA,NA,NA,NA
894,"Allen, Clifford",954205,14286,95,TN,5,1,0,92,8,0,0,0,0,0,0,17,0,0,0,0,6,1,1,1,1,0,0,8464,0,0,2,4,1,0.149000004,1,0,0,0,0,0.066500001,1,23,1,1,1,1,0.194399029,0.060763024,0,0,NA,NA,NA,NA
4007,"Allen, George",1024607.2,29148,102,VA,7,0,0,63,10,0,0,0,0,0,0,7,1,1,1,0,1,0,0,0,0,0,0,3969,0,0,1,1,1,0.170000002,0,0,0,0,0,0.629000008,1,8,1,1,1,0,0.334070712,NA,0,0,0.334070712,NA,0.334070712,NA
5342,"Allen, Thomas",1051901,29728,105,ME,1,1,0,55,2,0,0,0,0,0,0,8,0,0,0,0,1,1,1,1,0,0,0,3025,0,0,1,1,0,0,0,0,0,0,0,0.619499981,0,9,1,1,1,0,0.217982382,NA,0,0,0.260612667,NA,0.239297524,NA
5791,"Allen, Thomas",1061901,29728,106,ME,1,1,0,60,2,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,0,3600,0,0,2,4,0,0,0,0,0,0,0,0.586000025,0,6,1,1,1,0,0.137800455,0.217982382,0,0,0.137800455,0.260612667,0.137800455,0.239297524
6235,"Allen, Thomas",1071901,29728,107,ME,1,1,0,60,2,0,0,0,0,0,0,13,0,0,0,0,1,1,1,0,0,0,0,3600,0,0,3,9,0,0,0,0,0,0,0,0.630999982,0,14,1,1,0,0,0.252795845,0.137800455,0,0,0.252795845,0.137800455,0.252795845,0.137800455
6683,"Allen, Thomas",1081901,29728,108,ME,1,1,0,64,2,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,4096,0,0,4,16,0,0,0,0,0,0,0,0.683000028,0,11,0,0,0,0,0.169345245,0.252795845,0,0,0.386124939,0.252795845,0.277735084,0.252795845
7126,"Allen, Thomas",1091901,29728,109,ME,1,1,0,60,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,5,25,0,0,0,0,0,0,0,0.731000006,0,10,0,0,0,0,0.139855728,0.169345245,0,0,0.139860138,0.386124939,0.139857933,0.277735084
7570,"Allen, Thomas",1101901,29728,110,ME,1,1,0,61,2,0,0,0,0,0,0,24,5,3,3,0,0,0,0,0,0,0,0,3721,0,0,6,36,0,0,1,0,0,0,0,0.251000017,0,24,5,3,3,0,1.275365591,0.139855728,0,0,1.275365591,0.139860138,1.275365591,0.139857933
7571,"Altmire, Jason",1103804,20743,110,PA,4,1,0,52,19,0,0,0,0,0,0,23,2,3,3,1,1,1,1,1,1,0,0,2704,0,0,1,1,0,0,1,0,0,0,0,0.067000002,0,24,3,4,4,2,1.472207665,NA,0,0,1.520491838,NA,1.496349812,NA
453,"Ambro, Jerome",943203,14200,94,NY,3,1,0,52,39,0,0,0,0,0,0,12,0,0,0,0,2,1,1,1,0,0,0,2704,0,0,1,1,0,0,1,0,0,0,0,0.002000002,0,14,1,1,1,0,0.123152494,NA,0,0,NA,NA,NA,NA
